x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index
839.37286,399.3918,871.855,480.34048,0,0.8811667,1,person,3
641.14825,267.16037,665.5322,331.60553,0,0.880063,4,person,3
355.7374,476.10822,391.71933,539.2723,0,0.8536913,2,person,3
42.765533,151.64629,70.9827,199.38065,0,0.84927785,6,person,3
656.15216,268.3395,676.1935,328.21997,0,0.84456855,5,person,3
309.31766,104.98273,327.91544,149.56987,0,0.836232,9,person,3
251.34644,347.53247,276.0301,414.78458,0,0.80641687,14,person,3
489.95718,360.48557,521.0573,428.5374,0,0.79351324,8,person,3
227.36923,284.00146,246.42323,335.96115,0,0.7914689,11,person,3
158.35602,47.10849,175.6735,83.56571,0,0.7852206,13,person,3
581.8804,237.72588,601.85077,291.2012,0,0.7451534,3,person,3
63.565445,276.59976,94.919655,332.27145,0,0.73780024,10,person,3
203.90166,282.0284,225.8716,333.7487,0,0.728761,17,person,3
687.70685,442.73105,726.88727,552.5571,0,0.69793665,20,person,3
797.56976,555.6855,849.43085,610.88934,0,0.6486037,23,person,3
338.8235,327.41208,366.0549,381.9199,0,0.63694805,15,person,3
852.73846,467.23602,899.25446,494.78174,0,0.6124608,16,person,3
163.90668,18.505907,177.55496,50.24875,0,0.5973073,19,person,3
620.5461,555.95807,657.98224,625.32983,0,0.5885722,25,person,3
719.4959,586.39185,750.6511,637.2769,0,0.5812725,18,person,3
644.4312,318.666,698.18695,347.8822,0,0.5654091,21,person,3
478.587,524.65753,518.99774,572.93616,0,0.54120946,26,person,3
553.23926,264.01938,569.3733,307.96112,0,0.4590713,7,person,3
927.69745,159.30496,953.1717,202.18242,0,0.4179974,24,person,3
476.29178,439.87454,496.31436,484.84964,0,0.36173934,22,person,3
589.44403,240.7894,617.71466,286.3795,0,0.3027624,12,person,3
642.791,268.54892,667.33673,330.54205,0,0.88504565,4,person,4
841.14813,400.59088,872.74304,479.91608,0,0.8839309,1,person,4
355.73816,476.10904,391.7324,539.2482,0,0.85573083,2,person,4
583.97144,238.24799,606.1731,292.32718,0,0.82189965,3,person,4
308.60904,106.2911,327.14484,151.43694,0,0.8204143,9,person,4
251.10747,346.60632,277.4904,414.7144,0,0.8038089,14,person,4
48.00379,150.924,68.62695,197.06029,0,0.8036961,6,person,4
227.26439,283.98724,246.44366,335.9898,0,0.790522,11,person,4
491.00525,361.3065,521.91284,429.8675,0,0.7821178,8,person,4
593.3848,240.48682,619.19885,287.5698,0,0.7667158,12,person,4
63.553833,276.58865,95.19717,332.49466,0,0.746149,10,person,4
158.73538,46.710644,176.82996,82.61216,0,0.7376874,13,person,4
203.83842,282.6092,226.05289,333.9333,0,0.7167301,17,person,4
659.049,269.5078,678.7596,327.847,0,0.715954,5,person,4
687.7086,442.98737,726.46844,552.3899,0,0.70151156,20,person,4
62.744835,446.3163,98.54747,527.0762,0,0.69439536,27,person,4
797.5567,555.9393,849.47675,612.13605,0,0.68285763,23,person,4
163.24527,17.467482,177.13377,49.850475,0,0.6558115,19,person,4
851.01013,467.94797,901.42786,497.64337,0,0.6503593,16,person,4
339.0345,327.3892,366.24628,381.45544,0,0.62754184,15,person,4
229.43456,49.43934,245.6159,85.08284,0,0.6262419,29,person,4
719.46265,584.944,750.82104,638.2658,0,0.6195424,18,person,4
620.24097,556.07135,657.9582,625.7219,0,0.6112879,25,person,4
