x_min,y_min,x_max,y_max,class_id,confidence,tracker_id,class_name,frame_index,center_x,center_y,time,sliding_window_x,sliding_window_y,real_world_x,real_world_y,real_world_sw_x,real_world_sw_y,latitude,longitude,speed,nr_people
839.37286,399.3918,871.855,480.34048,0,0.8811667,1,person,3,855.6139,439.8661,0.0,855.6139,439.8661,1089634.9646691137,6123209.709653443,1089634.9647,6123209.7097,9.788357428732995,48.098213902722,0.09849129528825665,24
841.14813,400.59088,872.74304,479.91608,0,0.8839309,1,person,4,856.9456,440.2535,0.5,856.2798,440.0598,1089634.9273872687,6123209.758953526,1089634.946,6123209.7343,9.788357093824484,48.0982141984954,1.5676943826965235,29
846.49255,413.55753,882.2003,489.11752,0,0.9061121,1,person,12,864.3464,451.3375,1.0,859.9518,443.9644,1089635.6970556485,6123210.020310579,1089635.1204,6123209.8672,9.788364007873177,48.09821576649403,2.6896272181875274,33
855.549,426.91058,891.7007,505.5686,0,0.86871356,1,person,19,873.6248,466.2396,1.5,870.9571,456.6614,1089637.0346467234,6123210.332500298,1089636.1807,6123210.2522,9.788376023658241,48.09821763946064,1.8526354636610856,34
863.58295,438.2641,900.0286,517.2217,0,0.8715682,1,person,27,881.8058,477.7429,2.0,877.7682,469.3019,1089637.9495676626,6123210.602895795,1089637.1627,6123210.4775,9.788384242532874,48.09821926168487,2.014029137456725,33
873.9051,448.98465,909.04004,530.2371,0,0.88538945,1,person,34,891.4726,489.6109,2.5,888.0347,480.4006,1089638.9418173002,6123210.914603876,1089638.0044,6123210.8213,9.788393156063027,48.09822113176179,1.1242753972407609,35
879.54974,459.38892,914.72253,537.6701,0,0.90133995,1,person,42,897.1361,498.5295,3.0,895.1482,494.3892,1089639.4950511164,6123211.0933394665,1089639.3376,6123211.0297,9.788398125846955,48.098222204076926,2.240863526747376,36
891.777,469.13055,928.22003,552.8018,0,0.90778136,1,person,49,909.9985,510.9662,3.5,902.9984,505.5421,1089640.591217772,6123211.492807309,1089640.1509,6123211.272,9.788407972879563,48.09822460066397,1.9267358532283594,36
900.2539,484.09686,935.40027,566.4086,0,0.90441495,1,person,57,917.8271,525.2527,4.0,914.8737,522.2748,1089641.5493909514,6123211.716650194,1089641.4967,6123211.6207,9.788416580295682,48.098225943597946,1.7334290082181532,35
908.16895,496.15552,945.5962,578.936,0,0.89549696,1,person,64,926.8826,537.5458,4.5,921.5262,535.4864,1089642.4044375478,6123211.977272714,1089642.3265,6123211.8017,9.788424261309942,48.09822750718943,2.6821809244462314,33
917.72504,512.2647,953.6489,599.20795,0,0.90282845,1,person,72,935.687,555.7363,5.0,932.4336,552.3105,1089643.7462825926,6123212.197284788,1089643.6495,6123212.0981,9.788436315309069,48.098228827140574,1.3225297300804537,35
927.5132,528.1334,965.16943,609.21814,0,0.9000494,1,person,79,946.3413,568.6758,5.5,940.0746,565.4798,1089644.3804850755,6123212.5018854,1089644.3616,6123212.3041,9.788442012446906,48.09823065457626,2.887096504490571,34
936.7012,545.0609,974.68494,632.5665,0,0.9130383,1,person,87,955.6931,588.8137,6.0,951.7104,584.0959,1089645.8267994989,6123212.709762609,1089645.656,6123212.5971,9.788455004910427,48.09823190172484,1.4282096853184498,33
945.6392,560.9043,983.75745,644.40576,0,0.90314084,1,person,94,964.6983,602.655,6.5,959.1004,596.6106,1089646.5289475715,6123212.941325786,1089646.2741,6123212.7869,9.788461312413881,48.098233290976104,2.8699456055682626,34
955.39545,578.9176,996.2602,669.36127,0,0.9156823,1,person,102,975.8278,624.1394,7.0,972.2208,616.6218,1089647.9646106015,6123213.178362634,1089647.5627,6123213.099,9.788474209194309,48.098234713066354,1.884418797915945,34
965.2986,592.55505,1003.0551,686.4287,0,0.9103702,1,person,109,984.1768,639.4919,7.5,980.6349,627.3576,1089648.9056132014,6123213.355419709,1089648.0172,6123213.3168,9.788482662364485,48.098235775311046,2.297183222963551,33
978.50165,613.2426,1015.6167,707.9646,0,0.91017807,1,person,117,997.0592,660.6036,8.0,992.8058,647.4574,1089650.0463783632,6123213.637768996,1089649.269,6123213.5777,9.78849291003229,48.098237469250826,0,30
355.7374,476.10822,391.71933,539.2723,0,0.8536913,2,person,3,373.7284,507.6903,0.0,373.7284,507.6903,1089640.164117474,6123192.684280441,1089640.1641,6123192.6843,9.788404136172307,48.098111759740554,0.003652590643102509,24
355.73816,476.10904,391.7324,539.2482,0,0.85573083,2,person,4,373.7353,507.6786,0.5,373.7318,507.6844,1089640.1622841328,6123192.684081538,1089640.1632,6123192.6842,9.788404119703122,48.09811175854725,0.003137898551394172,29
355.85135,475.97583,391.63046,539.2275,0,0.8358474,2,person,12,373.7409,507.6017,1.0,373.8409,507.868,1089640.1607097108,6123192.683898881,1089640.1905,6123192.6949,9.788404105559849,48.0981117574514,0.13452587438221203,33
355.76077,476.01318,391.63348,538.3482,0,0.844204,2,person,19,373.6971,507.1807,1.5,373.7072,507.3661,1089640.0940667863,6123192.665938807,1089640.1245,6123192.674,9.788403506896271,48.09811164970061,0.23382751901830573,34
355.8938,475.92554,391.7145,539.8764,0,0.84236676,2,person,27,373.8042,507.901,2.0,373.6871,507.5392,1089640.2097713181,6123192.69824886,1089640.151,6123192.6785,9.788404546287765,48.09811184354356,0.05279133655409987,33
355.91003,475.9308,391.65997,539.5307,0,0.8501975,2,person,34,373.785,507.7308,2.5,373.7916,507.8361,1089640.1836272143,6123192.691131419,1089640.2001,6123192.6956,9.788404311431286,48.09811180084274,0.0021761822027013154,35
355.8853,476.02722,391.6679,539.54504,0,0.8476359,2,person,42,373.7766,507.7861,3.0,373.7754,507.694,1089640.1847220466,6123192.691094434,1089640.1761,6123192.6889,9.78840432126633,48.09811180062085,0.005571496825706851,36
355.71347,475.99792,391.63742,539.53,0,0.844151,2,person,49,373.6754,507.764,3.5,373.7614,507.7716,1089640.183692643,6123192.687157644,1089640.1837,6123192.6898,9.78840431201904,48.09811177700223,0.03320026285851925,36
355.74875,475.99854,391.64346,539.747,0,0.8534924,2,person,57,373.6961,507.8728,4.0,373.6801,507.7701,1089640.2000967574,6123192.691939458,1089640.1847,6123192.6876,9.788404459379707,48.09811180569054,0.16118473285948867,35
355.7838,476.0513,391.57013,538.6911,0,0.85415,2,person,64,373.677,507.3712,4.5,373.6754,507.3758,1089640.1201114664,6123192.671602003,1089640.1217,6123192.6718,9.788403740859614,48.09811168367675,0.049968512090604565,33
355.7919,476.0402,391.47974,538.3658,0,0.8449389,2,person,72,373.6358,507.203,5.0,373.673,507.3458,1089640.095468999,6123192.66404862,1089640.1166,6123192.6705,9.788403519492562,48.09811163836051,0.06654960640662518,35
355.7319,476.02957,391.44562,537.93256,0,0.864608,2,person,79,373.5888,506.9811,5.5,373.595,507.1236,1089640.0626127608,6123192.654265131,1089640.0823,6123192.6591,9.788403224339953,48.09811157966483,0.11362856958360656,34
355.7325,475.94128,391.67316,538.6709,0,0.8716116,2,person,87,373.7028,507.3061,6.0,373.6394,507.0968,1089640.1185512142,6123192.672158983,1089640.0836,6123192.6606,9.78840372684363,48.09811168701832,0.005518523797194977,33
355.72342,475.9088,391.69073,538.63464,0,0.8711462,2,person,94,373.7071,507.2717,6.5,373.7084,507.2668,1089640.1157956072,6123192.671639012,1089640.1149,6123192.6715,9.78840370208959,48.09811168389877,0.017204804043490535,34
355.65527,476.05627,391.68924,538.5238,0,0.8653907,2,person,102,373.6723,507.29,7.0,373.7116,507.2404,1089640.1074225025,6123192.668314627,1089640.1039,6123192.6692,9.788403626872713,48.098111663954256,0.04716973727866756,34
355.56494,476.15237,391.59042,538.83466,0,0.867099,2,person,109,373.5777,507.4935,7.5,373.631,507.3663,1089640.131107457,6123192.670684543,1089640.1188,6123192.6701,9.788403839638278,48.09811167817248,0.03819893704656625,33
355.63754,476.20663,391.54013,538.58417,0,0.8611634,2,person,117,373.5888,507.3954,8.0,373.612,507.4028,1089640.1120936905,6123192.666418748,1089640.1134,6123192.6678,9.788403668834707,48.09811165258,0.029051069789750198,30
355.91464,476.37827,391.5538,538.3942,0,0.86630875,2,person,124,373.7342,507.3862,8.5,373.7314,507.3691,1089640.09751898,6123192.6681388635,1089640.0958,6123192.668,9.788403537907856,48.09811166289977,0.045656384525914084,32
355.86523,476.4086,391.65787,538.0947,0,0.86107916,2,person,132,373.7616,507.2516,9.0,373.7443,507.5278,1089640.074745932,6123192.663546195,1089640.1193,6123192.6731,9.788403333334085,48.09811163534623,0.011504936287173468,32
355.80573,476.4295,391.6371,538.17035,0,0.8627371,2,person,139,373.7214,507.2999,9.5,373.7649,507.3406,1089640.0805354144,6123192.6635019835,1089640.0882,6123192.6669,9.788403385341889,48.09811163508098,0.025602382828816873,31
355.73016,476.37,391.65692,538.3386,0,0.8567787,2,person,147,373.6935,507.3543,10.0,373.7051,507.3435,1089640.0933418185,6123192.665629549,1089640.0873,6123192.6649,9.788403500383776,48.098111647845236,0,31
581.8804,237.72588,601.85077,291.2012,0,0.7451534,3,person,3,591.8656,264.4635,0.0,591.8656,264.4635,1089614.0823643387,6123197.167000414,1089614.0824,6123197.167,9.788169839797526,48.098138653642856,0.4012169935913732,24
583.97144,238.24799,606.1731,292.32718,0,0.82189965,3,person,4,595.0723,265.2876,0.5,593.4689,264.8755,1089614.246107175,6123197.345312401,1089614.1642,6123197.2562,9.78817131072445,48.09813972341832,1.2850034061743876,29
600.99316,238.39314,621.2823,289.34586,0,0.82373416,3,person,12,611.1377,263.8695,1.0,601.994,265.4787,1089613.822249673,6123198.082520926,1089614.1435,6123197.6721,9.788167503147728,48.09814414627046,1.325092010852426,33
611.8415,241.21631,634.9447,292.80618,0,0.85953414,3,person,19,623.3931,267.0112,1.5,619.3534,266.8513,1089614.3267056847,6123198.740819751,1089614.3386,6123198.5542,9.788172034753181,48.098148095706776,1.455834827183499,34
625.932,242.62326,654.48846,295.9501,0,0.8700697,3,person,27,640.2102,269.2867,2.0,635.6714,267.9806,1089614.781732694,6123199.607564091,1089614.5396,6123199.3621,9.788176122330352,48.0981532957028,1.0880949357583733,33
645.33435,244.61877,666.7989,297.134,0,0.82765794,3,person,34,656.0666,270.8764,2.5,648.753,269.1294,1089614.9551153556,6123200.391601992,1089614.7672,6123199.992,9.788177679853302,48.098157999504586,1.1872467489913305,35
661.3361,245.72096,682.1591,299.2134,0,0.81142026,3,person,42,671.7476,272.4672,3.0,663.5638,271.4767,1089615.2530311865,6123201.173367275,1089615.0012,6123200.7598,9.788180356076746,48.09816268967147,0.8688890578151359,36
674.1908,245.72269,694.7342,297.8322,0,0.8568995,3,person,49,684.4625,271.7774,3.5,677.2856,272.8477,1089615.0636418005,6123201.768288521,1089615.3394,6123201.4581,9.788178654762945,48.09816625887538,1.3423200775600723,36
688.4255,248.20657,711.9616,300.87573,0,0.8678668,3,person,57,700.1936,274.5412,4.0,694.5183,274.0947,1089615.4944706436,6123202.553654408,1089615.3504,6123202.2794,9.78818252496429,48.098170970643174,1.0959935751837038,35
700.98114,248.31198,731.764,302.19476,0,0.87784225,3,person,64,716.3726,275.2534,4.5,708.1568,274.5842,1089615.6825229356,6123203.336334827,1089615.5249,6123202.9321,9.78818421426677,48.09817566629919,1.0826064224450538,33
719.4177,248.90872,743.2001,304.0458,0,0.86332375,3,person,72,731.3089,276.4773,5.0,724.426,275.059,1089615.942198572,6123204.059302738,1089615.6518,6123203.6969,9.788186546972703,48.09818000371232,0.9499263809545917,35
736.43805,250.72562,756.2485,304.5419,0,0.83137685,3,person,79,746.3433,277.6338,5.5,737.7547,277.0068,1089616.014562549,6123204.7725981,1089615.899,6123204.3572,9.788187197029368,48.09818428309507,1.5389407330722689,34
753.3799,252.53827,775.50726,308.2968,0,0.83759964,3,person,87,764.4436,280.4175,6.0,755.2499,280.033,1089616.5307447347,6123205.64410364,1089616.4449,6123205.2117,9.788191833972837,48.09818951165203,0.7687757663350866,33
761.9843,254.85883,788.4918,309.67133,0,0.8496513,3,person,94,775.238,282.2651,6.5,770.5088,281.4512,1089616.7188776208,6123206.154398775,1089616.6454,6123205.932,9.788193523999306,48.09819257314372,1.2611692889555357,34
779.28235,255.94879,809.47656,311.3195,0,0.89184076,3,person,102,794.3795,283.6341,7.0,788.2618,282.835,1089616.9443906199,6123207.049923435,1089616.7954,6123206.7625,9.788195549817045,48.0981979458014,0.8302546663646588,34
796.50726,256.4237,819.4947,311.24634,0,0.81241757,3,person,109,808.001,283.835,7.5,801.5907,283.631,1089616.9375009614,6123207.6805408755,1089616.9409,6123207.3844,9.788195487926188,48.09820172916046,1.3154601139722644,33
814.1669,258.83072,835.3111,314.35498,0,0.66942,3,person,117,824.739,286.5928,8.0,815.5229,285.6566,1089617.3543807878,6123208.45678237,1089617.1458,6123208.0308,9.788199232821386,48.09820638618366,0.7841180328891821,30
823.62244,260.17145,850.8242,315.1515,0,0.84405434,3,person,124,837.2233,287.6615,8.5,830.8165,287.8923,1089617.461858134,6123209.029916165,1089617.4756,6123208.7363,9.788200198306814,48.0982098246718,1.4466704360597475,32
842.87787,263.57663,868.0774,318.76306,0,0.84567404,3,person,132,855.4776,291.1698,9.0,848.5797,290.2056,1089617.9383331265,6123209.860801306,1089617.8417,6123209.5476,9.788204478554496,48.09821480952609,0.9898672127602745,32
856.4934,265.67886,886.39355,319.80612,0,0.8679367,3,person,139,871.4435,292.7425,9.5,864.197,291.8972,1089618.0761848716,6123210.583386513,1089618.0376,6123210.2547,9.788205716897792,48.098219144639906,2.0864657895255623,31
